filename,logo-name,y,x,color
neural_network/training_images/triangle_red_0000.bmp,triangle,57,67,red
neural_network/training_images/triangle_red_0001.bmp,triangle,70,23,red
neural_network/training_images/triangle_green_0000.bmp,triangle,68,69,green
neural_network/training_images/triangle_green_0001.bmp,triangle,46,33,green
neural_network/training_images/triangle_blue_0000.bmp,triangle,56,73,blue
neural_network/training_images/triangle_blue_0001.bmp,triangle,37,36,blue
neural_network/training_images/hook_red_0000.bmp,hook,88,97,red
neural_network/training_images/hook_red_0001.bmp,hook,87,85,red
neural_network/training_images/hook_green_0000.bmp,hook,75,83,green
neural_network/training_images/hook_green_0001.bmp,hook,22,19,green
neural_network/training_images/hook_blue_0000.bmp,hook,95,96,blue
neural_network/training_images/hook_blue_0001.bmp,hook,83,34,blue
neural_network/training_images/windows_red_0000.bmp,windows,35,34,red
neural_network/training_images/windows_red_0001.bmp,windows,35,122,red
neural_network/training_images/windows_green_0000.bmp,windows,39,40,green
neural_network/training_images/windows_green_0001.bmp,windows,59,22,green
neural_network/training_images/windows_blue_0000.bmp,windows,48,36,blue
neural_network/training_images/windows_blue_0001.bmp,windows,46,45,blue
